nm,TCS_01,TCS_02,TCS_03,TCS_04,TCS_05,TCS_06,TCS_07,TCS_08,TCS_09,TCS_10,TCS_11,TCS_12,TCS_13,TCS_14
360,1.16E-01,5.30E-02,5.80E-02,5.70E-02,1.43E-01,7.90E-02,1.50E-01,7.50E-02,6.90E-02,4.20E-02,7.40E-02,1.89E-01,7.10E-02,3.60E-02
365,1.36E-01,5.50E-02,5.90E-02,5.90E-02,1.87E-01,8.10E-02,1.77E-01,7.80E-02,7.20E-02,4.30E-02,7.90E-02,1.75E-01,7.60E-02,3.60E-02
370,1.59E-01,5.90E-02,6.10E-02,6.20E-02,2.33E-01,8.90E-02,2.18E-01,8.40E-02,7.30E-02,4.50E-02,8.60E-02,1.58E-01,8.20E-02,3.60E-02
375,1.90E-01,6.40E-02,6.30E-02,6.70E-02,2.69E-01,1.13E-01,2.93E-01,9.00E-02,7.00E-02,4.70E-02,9.80E-02,1.39E-01,9.00E-02,3.60E-02
380,2.19E-01,7.00E-02,6.50E-02,7.40E-02,2.95E-01,1.51E-01,3.78E-01,1.04E-01,6.60E-02,5.00E-02,1.11E-01,1.20E-01,1.04E-01,3.60E-02
385,2.39E-01,7.90E-02,6.80E-02,8.30E-02,3.06E-01,2.03E-01,4.59E-01,1.29E-01,6.20E-02,5.40E-02,1.21E-01,1.03E-01,1.27E-01,3.60E-02
390,2.52E-01,8.90E-02,7.00E-02,9.30E-02,3.10E-01,2.65E-01,5.24E-01,1.70E-01,5.80E-02,5.90E-02,1.27E-01,9.00E-02,1.61E-01,3.70E-02
395,2.56E-01,1.01E-01,7.20E-02,1.05E-01,3.12E-01,3.39E-01,5.46E-01,2.40E-01,5.50E-02,6.30E-02,1.29E-01,8.20E-02,2.11E-01,3.80E-02
400,2.56E-01,1.11E-01,7.30E-02,1.16E-01,3.13E-01,4.10E-01,5.51E-01,3.19E-01,5.20E-02,6.60E-02,1.27E-01,7.60E-02,2.64E-01,3.90E-02
405,2.54E-01,1.16E-01,7.30E-02,1.21E-01,3.15E-01,4.64E-01,5.55E-01,4.16E-01,5.20E-02,6.70E-02,1.21E-01,6.80E-02,3.13E-01,3.90E-02
410,2.52E-01,1.18E-01,7.40E-02,1.24E-01,3.19E-01,4.92E-01,5.59E-01,4.62E-01,5.10E-02,6.80E-02,1.16E-01,6.40E-02,3.41E-01,4.00E-02
415,2.48E-01,1.20E-01,7.40E-02,1.26E-01,3.22E-01,5.08E-01,5.60E-01,4.82E-01,5.00E-02,6.90E-02,1.12E-01,6.50E-02,3.52E-01,4.10E-02
420,2.44E-01,1.21E-01,7.40E-02,1.28E-01,3.26E-01,5.17E-01,5.61E-01,4.90E-01,5.00E-02,6.90E-02,1.08E-01,7.50E-02,3.59E-01,4.20E-02
425,2.40E-01,1.22E-01,7.30E-02,1.31E-01,3.30E-01,5.24E-01,5.58E-01,4.88E-01,4.90E-02,7.00E-02,1.05E-01,9.30E-02,3.61E-01,4.20E-02
430,2.37E-01,1.22E-01,7.30E-02,1.35E-01,3.34E-01,5.31E-01,5.56E-01,4.82E-01,4.80E-02,7.20E-02,1.04E-01,1.23E-01,3.64E-01,4.30E-02
435,2.32E-01,1.22E-01,7.30E-02,1.39E-01,3.39E-01,5.38E-01,5.51E-01,4.73E-01,4.70E-02,7.30E-02,1.04E-01,1.60E-01,3.65E-01,4.40E-02
440,2.30E-01,1.23E-01,7.30E-02,1.44E-01,3.46E-01,5.44E-01,5.44E-01,4.62E-01,4.60E-02,7.60E-02,1.05E-01,2.07E-01,3.67E-01,4.40E-02
445,2.26E-01,1.24E-01,7.30E-02,1.51E-01,3.52E-01,5.51E-01,5.35E-01,4.50E-01,4.40E-02,7.80E-02,1.06E-01,2.56E-01,3.69E-01,4.50E-02
450,2.25E-01,1.27E-01,7.40E-02,1.61E-01,3.60E-01,5.56E-01,5.22E-01,4.39E-01,4.20E-02,8.30E-02,1.10E-01,3.00E-01,3.72E-01,4.50E-02
455,2.22E-01,1.28E-01,7.50E-02,1.72E-01,3.69E-01,5.56E-01,5.06E-01,4.26E-01,4.10E-02,8.80E-02,1.15E-01,3.31E-01,3.74E-01,4.60E-02
460,2.20E-01,1.31E-01,7.70E-02,1.86E-01,3.81E-01,5.54E-01,4.88E-01,4.13E-01,3.80E-02,9.50E-02,1.23E-01,3.46E-01,3.76E-01,4.70E-02
465,2.18E-01,1.34E-01,8.00E-02,2.05E-01,3.94E-01,5.49E-01,4.69E-01,3.97E-01,3.50E-02,1.03E-01,1.34E-01,3.47E-01,3.79E-01,4.80E-02
470,2.16E-01,1.38E-01,8.50E-02,2.29E-01,4.03E-01,5.41E-01,4.48E-01,3.82E-01,3.30E-02,1.13E-01,1.48E-01,3.41E-01,3.84E-01,5.00E-02
475,2.14E-01,1.43E-01,9.40E-02,2.54E-01,4.10E-01,5.31E-01,4.29E-01,3.66E-01,3.10E-02,1.25E-01,1.67E-01,3.28E-01,3.89E-01,5.20E-02
480,2.14E-01,1.50E-01,1.09E-01,2.81E-01,4.15E-01,5.19E-01,4.08E-01,3.52E-01,3.00E-02,1.42E-01,1.92E-01,3.07E-01,3.97E-01,5.50E-02
485,2.14E-01,1.59E-01,1.26E-01,3.08E-01,4.18E-01,5.04E-01,3.85E-01,3.37E-01,2.90E-02,1.62E-01,2.19E-01,2.82E-01,4.05E-01,5.70E-02
490,2.16E-01,1.74E-01,1.48E-01,3.32E-01,4.19E-01,4.88E-01,3.63E-01,3.25E-01,2.80E-02,1.89E-01,2.52E-01,2.57E-01,4.16E-01,6.20E-02
495,2.18E-01,1.90E-01,1.72E-01,3.52E-01,4.17E-01,4.69E-01,3.41E-01,3.10E-01,2.80E-02,2.19E-01,2.91E-01,2.30E-01,4.29E-01,6.70E-02
500,2.23E-01,2.07E-01,1.98E-01,3.70E-01,4.13E-01,4.50E-01,3.24E-01,2.99E-01,2.80E-02,2.62E-01,3.25E-01,2.04E-01,4.43E-01,7.50E-02
505,2.25E-01,2.25E-01,2.21E-01,3.83E-01,4.09E-01,4.31E-01,3.11E-01,2.89E-01,2.90E-02,3.05E-01,3.47E-01,1.78E-01,4.54E-01,8.30E-02
510,2.26E-01,2.42E-01,2.41E-01,3.90E-01,4.03E-01,4.14E-01,3.01E-01,2.83E-01,3.00E-02,3.65E-01,3.56E-01,1.54E-01,4.61E-01,9.20E-02
515,2.26E-01,2.53E-01,2.60E-01,3.94E-01,3.96E-01,3.95E-01,2.91E-01,2.76E-01,3.00E-02,4.16E-01,3.53E-01,1.29E-01,4.66E-01,1.00E-01
520,2.25E-01,2.60E-01,2.78E-01,3.95E-01,3.89E-01,3.77E-01,2.83E-01,2.70E-01,3.10E-02,4.65E-01,3.46E-01,1.09E-01,4.69E-01,1.08E-01
525,2.25E-01,2.64E-01,3.02E-01,3.92E-01,3.81E-01,3.58E-01,2.73E-01,2.62E-01,3.10E-02,5.09E-01,3.33E-01,9.00E-02,4.71E-01,1.21E-01
530,2.27E-01,2.67E-01,3.39E-01,3.85E-01,3.72E-01,3.41E-01,2.65E-01,2.56E-01,3.20E-02,5.46E-01,3.14E-01,7.50E-02,4.74E-01,1.33E-01
535,2.30E-01,2.69E-01,3.70E-01,3.77E-01,3.63E-01,3.25E-01,2.60E-01,2.51E-01,3.20E-02,5.81E-01,2.94E-01,6.20E-02,4.76E-01,1.42E-01
540,2.36E-01,2.72E-01,3.92E-01,3.67E-01,3.53E-01,3.09E-01,2.57E-01,2.50E-01,3.30E-02,6.10E-01,2.71E-01,5.10E-02,4.83E-01,1.50E-01
545,2.45E-01,2.76E-01,3.99E-01,3.54E-01,3.42E-01,2.93E-01,2.57E-01,2.51E-01,3.40E-02,6.34E-01,2.48E-01,4.10E-02,4.90E-01,1.54E-01
550,2.53E-01,2.82E-01,4.00E-01,3.41E-01,3.31E-01,2.79E-01,2.59E-01,2.54E-01,3.50E-02,6.53E-01,2.27E-01,3.50E-02,5.06E-01,1.55E-01
555,2.62E-01,2.89E-01,3.93E-01,3.27E-01,3.20E-01,2.65E-01,2.60E-01,2.58E-01,3.70E-02,6.66E-01,2.06E-01,2.90E-02,5.26E-01,1.52E-01
560,2.72E-01,2.99E-01,3.80E-01,3.12E-01,3.08E-01,2.53E-01,2.60E-01,2.64E-01,4.10E-02,6.78E-01,1.88E-01,2.50E-02,5.53E-01,1.47E-01
565,2.83E-01,3.09E-01,3.65E-01,2.96E-01,2.96E-01,2.41E-01,2.58E-01,2.69E-01,4.40E-02,6.87E-01,1.70E-01,2.20E-02,5.82E-01,1.40E-01
570,2.98E-01,3.22E-01,3.49E-01,2.80E-01,2.84E-01,2.34E-01,2.56E-01,2.72E-01,4.80E-02,6.93E-01,1.53E-01,1.90E-02,6.18E-01,1.33E-01
575,3.18E-01,3.29E-01,3.32E-01,2.63E-01,2.71E-01,2.27E-01,2.54E-01,2.74E-01,5.20E-02,6.98E-01,1.38E-01,1.70E-02,6.51E-01,1.25E-01
580,3.41E-01,3.35E-01,3.15E-01,2.47E-01,2.60E-01,2.25E-01,2.54E-01,2.78E-01,6.00E-02,7.01E-01,1.25E-01,1.70E-02,6.80E-01,1.18E-01
585,3.67E-01,3.39E-01,2.99E-01,2.29E-01,2.47E-01,2.22E-01,2.59E-01,2.84E-01,7.60E-02,7.04E-01,1.14E-01,1.70E-02,7.01E-01,1.12E-01
590,3.90E-01,3.41E-01,2.85E-01,2.14E-01,2.32E-01,2.21E-01,2.70E-01,2.95E-01,1.02E-01,7.05E-01,1.06E-01,1.60E-02,7.17E-01,1.06E-01
595,4.09E-01,3.41E-01,2.72E-01,1.98E-01,2.20E-01,2.20E-01,2.84E-01,3.16E-01,1.36E-01,7.05E-01,1.00E-01,1.60E-02,7.29E-01,1.01E-01
600,4.24E-01,3.42E-01,2.64E-01,1.85E-01,2.10E-01,2.20E-01,3.02E-01,3.48E-01,1.90E-01,7.06E-01,9.60E-02,1.60E-02,7.36E-01,9.80E-02
