nm,S-cone-opic,M-cone-opic,L-cone-opic,rhodopic,melanopic
380,0.00E+00,0.00E+00,0.00E+00,5.89E-04,9.18E-04
381,0.00E+00,0.00E+00,0.00E+00,6.65E-04,1.05E-03
382,0.00E+00,0.00E+00,0.00E+00,7.52E-04,1.18E-03
383,0.00E+00,0.00E+00,0.00E+00,8.54E-04,1.32E-03
384,0.00E+00,0.00E+00,0.00E+00,9.72E-04,1.48E-03
385,0.00E+00,0.00E+00,0.00E+00,1.11E-03,1.67E-03
386,0.00E+00,0.00E+00,0.00E+00,1.27E-03,1.88E-03
387,0.00E+00,0.00E+00,0.00E+00,1.45E-03,2.13E-03
388,0.00E+00,0.00E+00,0.00E+00,1.67E-03,2.41E-03
389,0.00E+00,0.00E+00,0.00E+00,1.92E-03,2.74E-03
390,6.14E-03,3.58E-04,4.08E-04,2.21E-03,3.09E-03
391,7.44E-03,4.39E-04,4.97E-04,2.55E-03,3.51E-03
392,9.02E-03,5.36E-04,6.05E-04,2.94E-03,3.99E-03
393,1.09E-02,6.54E-04,7.34E-04,3.39E-03,4.55E-03
394,1.32E-02,7.96E-04,8.87E-04,3.92E-03,5.18E-03
395,1.60E-02,9.65E-04,1.07E-03,4.53E-03,5.88E-03
396,1.92E-02,1.17E-03,1.28E-03,5.24E-03,6.69E-03
397,2.31E-02,1.40E-03,1.53E-03,6.05E-03,7.65E-03
398,2.78E-02,1.68E-03,1.82E-03,6.98E-03,8.76E-03
399,3.32E-02,2.00E-03,2.16E-03,8.06E-03,1.00E-02
400,3.96E-02,2.37E-03,2.54E-03,9.29E-03,1.14E-02
401,4.71E-02,2.79E-03,2.97E-03,1.07E-02,1.31E-02
402,5.57E-02,3.27E-03,3.46E-03,1.23E-02,1.50E-02
403,6.56E-02,3.82E-03,4.01E-03,1.41E-02,1.73E-02
404,7.69E-02,4.43E-03,4.62E-03,1.62E-02,1.99E-02
405,8.98E-02,5.12E-03,5.32E-03,1.85E-02,2.28E-02
406,1.04E-01,5.90E-03,6.09E-03,2.11E-02,2.63E-02
407,1.20E-01,6.78E-03,6.95E-03,2.41E-02,3.06E-02
408,1.38E-01,7.75E-03,7.90E-03,2.73E-02,3.55E-02
409,1.57E-01,8.82E-03,8.91E-03,3.09E-02,4.07E-02
410,1.79E-01,9.99E-03,9.99E-03,3.48E-02,4.62E-02
411,2.01E-01,1.12E-02,1.11E-02,3.92E-02,5.18E-02
412,2.25E-01,1.26E-02,1.23E-02,4.39E-02,5.78E-02
413,2.51E-01,1.40E-02,1.35E-02,4.90E-02,6.43E-02
414,2.78E-01,1.56E-02,1.47E-02,5.45E-02,7.15E-02
415,3.06E-01,1.73E-02,1.60E-02,6.04E-02,7.95E-02
416,3.36E-01,1.90E-02,1.74E-02,6.68E-02,8.92E-02
417,3.67E-01,2.10E-02,1.88E-02,7.36E-02,1.01E-01
418,3.99E-01,2.30E-02,2.03E-02,8.08E-02,1.13E-01
419,4.31E-01,2.51E-02,2.19E-02,8.85E-02,1.26E-01
420,4.63E-01,2.73E-02,2.34E-02,9.66E-02,1.37E-01
421,4.93E-01,2.96E-02,2.49E-02,1.05E-01,1.47E-01
422,5.23E-01,3.20E-02,2.64E-02,1.14E-01,1.57E-01
423,5.52E-01,3.44E-02,2.79E-02,1.24E-01,1.66E-01
424,5.81E-01,3.70E-02,2.94E-02,1.33E-01,1.76E-01
425,6.10E-01,3.97E-02,3.09E-02,1.44E-01,1.87E-01
426,6.39E-01,4.25E-02,3.25E-02,1.54E-01,1.99E-01
427,6.70E-01,4.55E-02,3.43E-02,1.65E-01,2.12E-01
428,7.00E-01,4.87E-02,3.61E-02,1.76E-01,2.26E-01
429,7.29E-01,5.20E-02,3.79E-02,1.88E-01,2.40E-01
