nm,cyanopic,chloropic,erythropic,rhodopic,melanopic,photopic,lens transm.
380,9.73E-05,7.86E-06,6.78E-06,1.03E-05,1.05E-05,0.000039,0.002511886
385,0.000189379,1.36E-05,1.19E-05,1.81E-05,1.90E-05,0.000064,0.004466836
390,0.000365483,2.34E-05,2.06E-05,3.21E-05,3.53E-05,0.00012,0.007943282
395,0.000698542,4.02E-05,3.56E-05,5.78E-05,6.71E-05,0.000217,0.014125375
400,0.001321287,6.92E-05,6.12E-05,0.000106456,0.000130339,0.000396,0.025118864
405,0.002492287,0.000120678,0.00010547,0.000201814,0.000260174,0.00064,0.045029798
410,0.004648694,0.000212804,0.000181399,0.000390506,0.000526421,0.00121,0.080723503
415,0.007235302,0.000321746,0.000263615,0.000648909,0.000906471,0.00218,0.122179966
420,0.011119724,0.000496042,0.000384757,0.001091347,0.001565261,0.004,0.184926862
425,0.013325175,0.000618129,0.000447827,0.001460939,0.002133928,0.0073,0.221309471
430,0.015718322,0.00078758,0.000528094,0.001959062,0.00289546,0.0116,0.264850014
435,0.017071752,0.000959944,0.000594103,0.002457346,0.00365751,0.01684,0.297166603
440,0.018157065,0.0011891,0.000682332,0.00306621,0.004580302,0.023,0.333426413
445,0.017936715,0.001417694,0.000762602,0.003614942,0.005406235,0.0298,0.35604099
450,0.01722577,0.001700869,0.000871015,0.004226377,0.0063154,0.038,0.380189396
455,0.015755406,0.002011614,0.000997837,0.004819224,0.007181519,0.048,0.399484561
460,0.013879313,0.002374822,0.001160536,0.005446162,0.00807565,0.06,0.419758984
465,0.011689771,0.002784527,0.001360821,0.00608679,0.008955784,0.0739,0.440047948
470,0.009393864,0.003244076,0.001605066,0.006745407,0.009812048,0.09098,0.461317575
475,0.007086134,0.003699455,0.001870573,0.007313056,0.010467212,0.1126,0.476979814
480,0.005090738,0.004184253,0.002176786,0.007866544,0.011013205,0.13902,0.493173804
485,0.003461766,0.004644443,0.00249707,0.008310607,0.011298533,0.1693,0.504661298
490,0.002267673,0.00511221,0.002848051,0.008712425,0.011405502,0.20802,0.516416369
495,0.001443454,0.005581408,0.003225964,0.009061595,0.011314512,0.2586,0.528445252
500,0.000900602,0.006046136,0.003626347,0.009346036,0.011017163,0.323,0.540754323
505,0.000554981,0.00650067,0.004044288,0.009552029,0.010519279,0.4073,0.553350109
510,0.000339855,0.006939282,0.004474665,0.00966469,0.009841672,0.503,0.566239289
515,0.000206339,0.007305335,0.004878532,0.009602473,0.008955981,0.6082,0.575439937
520,0.000125483,0.007637921,0.005278893,0.009420626,0.007979609,0.71,0.584790084
525,7.65E-05,0.007921265,0.005664487,0.009101751,0.006950765,0.7932,0.593608348
530,4.69E-05,0.008156399,0.006036489,0.008656584,0.005922976,0.862,0.602559586
535,2.90E-05,0.00833501,0.006390588,0.008092446,0.004933259,0.9148501,0.611645803
540,1.80E-05,0.00844799,0.006722435,0.007424689,0.004011397,0.954,0.620869034
545,1.13E-05,0.008495627,0.007035525,0.006683497,0.003183677,0.9803,0.630957344
550,7.14E-06,0.008458928,0.007317346,0.005887091,0.002460421,0.9949501,0.641209577
555,4.54E-06,0.008320326,0.007553383,0.00506028,0.001848329,1,0.650878611
560,2.91E-06,0.008084698,0.007745316,0.00424227,0.001351844,0.995,0.660693448
565,1.88E-06,0.007733398,0.007867875,0.003455214,0.000962005,0.9786,0.66911382
570,1.22E-06,0.007290509,0.007931212,0.002736895,0.000669517,0.952,0.677641508
575,7.98E-07,0.006750709,0.007909789,0.002102387,0.000456322,0.9154,0.684699483
580,5.25E-07,0.006147388,0.007815536,0.001570576,0.00030652,0.87,0.691830971
585,3.48E-07,0.005499612,0.007643749,0.001142991,0.00020373,0.8163,0.699036737
590,2.32E-07,0.004828413,0.007392169,0.000812637,0.000134472,0.757,0.706317554
595,1.56E-07,0.004145722,0.007045597,0.0005652,8.82E-05,0.6949,0.7120328
600,1.05E-07,0.00348481,0.006627074,0.000386993,5.78E-05,0.631,0.717794291
605,7.15E-08,0.002860955,0.006138822,0.000261595,3.78E-05,0.5668,0.722769804
610,4.89E-08,0.002294347,0.005601814,0.000175413,2.48E-05,0.503,0.727779805
615,3.36E-08,0.001796346,0.005031294,0.000117048,1.63E-05,0.4412,0.732824533
620,2.33E-08,0.001373348,0.004443763,7.79E-05,1.08E-05,0.381,0.73790423
625,1.62E-08,0.001023962,0.003847015,5.17E-05,7.16E-06,0.321,0.741310241
630,1.13E-08,0.000747702,0.003268503,3.44E-05,4.77E-06,0.265,0.744731974
635,7.95E-09,0.000536107,0.002722512,2.29E-05,3.19E-06,0.217,0.748169501
640,5.62E-09,0.000378597,0.002221161,1.53E-05,2.15E-06,0.175,0.751622894
645,3.99E-09,0.000263872,0.001771751,1.03E-05,1.45E-06,0.1382,0.754223396
650,2.85E-09,0.000182277,0.001383177,6.93E-06,9.87E-07,0.107,0.756832895
655,2.04E-09,0.000125143,0.00105738,4.69E-06,6.75E-07,0.0816,0.759451423
660,1.47E-09,8.56E-05,0.000792502,3.19E-06,4.64E-07,0.061,0.76207901
665,1.07E-09,5.84E-05,0.000583458,2.18E-06,3.21E-07,0.04458,0.764715688
670,7.78E-10,3.99E-05,0.000422958,1.50E-06,2.23E-07,0.032,0.767361489
675,5.69E-10,2.72E-05,0.000302358,1.04E-06,1.56E-07,0.0232,0.76913044
680,4.18E-10,1.86E-05,0.000213973,7.18E-07,1.09E-07,0.017,0.770903469
685,3.08E-10,1.28E-05,0.000150291,5.01E-07,7.70E-08,0.01192,0.772680585
690,2.29E-10,8.80E-06,0.000105015,3.51E-07,5.46E-08,0.00821,0.774461798
695,1.70E-10,6.08E-06,7.31E-05,2.47E-07,3.89E-08,0.005723,0.775621787
700,1.27E-10,4.21E-06,5.08E-05,1.75E-07,2.78E-08,0.004102,0.776783514
705,9.54E-11,2.93E-06,3.53E-05,1.24E-07,2.00E-08,0.002929,0.777946981
710,7.18E-11,2.05E-06,2.45E-05,8.87E-08,1.44E-08,0.002091,0.779112191
715,5.43E-11,1.44E-06,1.71E-05,6.36E-08,1.05E-08,0.001484,0.780189318
720,4.13E-11,1.02E-06,1.19E-05,4.59E-08,7.63E-09,0.001047,0.781267935
725,3.14E-11,7.20E-07,8.36E-06,3.32E-08,5.58E-09,0.00074,0.78216792
730,2.41E-11,5.12E-07,5.87E-06,2.41E-08,4.10E-09,0.00052,0.783068943
735,1.85E-11,3.66E-07,4.14E-06,1.76E-08,3.03E-09,0.0003611,0.783880751
740,1.42E-11,2.63E-07,2.93E-06,1.29E-08,2.24E-09,0.0002492,0.7846934
745,1.10E-11,1.89E-07,2.08E-06,9.52E-09,1.67E-09,0.0001719,0.785416463
750,8.54E-12,1.37E-07,1.49E-06,7.04E-09,1.25E-09,0.00012,0.786140191
755,6.64E-12,9.97E-08,1.06E-06,5.22E-09,9.35E-10,0.0000848,0.78659286
760,5.19E-12,7.27E-08,7.64E-07,3.89E-09,7.03E-10,0.00006,0.78704579
765,4.07E-12,5.33E-08,5.52E-07,2.91E-09,5.31E-10,0.0000424,0.787589649
770,3.20E-12,3.92E-08,4.00E-07,2.19E-09,4.03E-10,0.00003,0.788133885
775,2.52E-12,2.90E-08,2.91E-07,1.65E-09,3.07E-10,0.0000212,0.788587702
780,1.99E-12,2.15E-08,2.12E-07,1.25E-09,2.34E-10,0.00001499,0.78904178
