nm,S cone Slbd,scotopic V'lbd,ipRGC,photopic V10lbd
380,0,0,0,0
390,0.0078,0.0022,0.0668,0.0003
400,0.174,0.0093,0.1541,0.002
410,0.3629,0.0348,0.2755,0.0088
420,0.6612,0.0966,0.406,0.0214
430,0.9044,0.1998,0.524,0.0387
440,1,0.3281,0.631,0.0621
450,0.9161,0.455,0.745,0.0895
460,0.8019,0.567,0.862,0.1282
470,0.6931,0.676,0.957,0.1852
480,0.4701,0.793,1,0.2536
490,0.2774,0.904,0.968,0.3391
500,0.1647,0.982,0.867,0.4608
510,0.0956,0.997,0.717,0.6067
520,0.0474,0.935,0.548,0.7618
530,0.0256,0.811,0.3864,0.8752
540,0.0124,0.65,0.2519,0.962
550,0.0054,0.481,0.1517,0.9918
560,0.0023,0.3288,0.0845,0.9971
570,0.0016,0.2076,0.0438,0.9555
580,0.0008,0.1212,0.0215,0.8689
590,0.0008,0.0655,0.0101,0.7774
600,0.0008,0.0331,0.0046,0.6583
610,0,0.0159,0.0021,0.528
620,0,0.0074,0.0009,0.3981
630,0,0.0033,0.0004,0.2835
640,0,0.0015,0.0002,0.1798
650,0,0.0007,0.0001,0.1076
660,0,0.0003,0,0.0603
670,0,0.0001,0,0.0318
680,0,0.0001,0,0.0159
690,0,0,0,0.0077
700,0,0,0,0.0037
710,0,0,0,0.0018
720,0,0,0,0.0008
730,0,0,0,0.0004
740,0,0,0,0.0004
750,0,0,0,0.0004
760,0,0,0,0.0004
770,0,0,0,0.0004
780,0,0,0,0.0004
