nm,Photopic (2 deg. Observer),Scotopic,Vlambda / macula,Scone / macula,Melanopsin corr. * lens
380,3.90E-05,5.89E-04,0,0,0.001209182
382,4.69E-05,7.52E-04,0,0,0.001877011
384,5.72E-05,9.72E-04,0,0,0.002710613
386,7.23E-05,1.27E-03,0,0,0.003744419
388,9.35E-05,1.67E-03,0,0,0.004880802
390,1.20E-04,2.21E-03,0.0001,0.0029,0.006092171
392,1.51E-04,2.94E-03,0.0001,0.0153,0.009099363
394,1.92E-04,3.92E-03,0.0002,0.0277,0.012593135
396,2.47E-04,5.24E-03,0.0002,0.0401,0.016610707
398,3.19E-04,6.98E-03,0.0003,0.0526,0.021070143
400,3.96E-04,9.29E-03,0.0007,0.1088,0.025947437
402,4.73E-04,1.23E-02,0.0008,0.1349,0.035432854
404,5.72E-04,1.62E-02,0.001,0.1619,0.045898853
406,7.25E-04,2.11E-02,0.0013,0.1898,0.057306923
408,9.41E-04,2.73E-02,0.0017,0.2188,0.070101599
410,1.21E-03,3.48E-02,0.0022,0.2488,0.084430355
412,1.53E-03,4.39E-02,0.0028,0.2947,0.10466962
414,1.94E-03,5.45E-02,0.0036,0.3423,0.126202805
416,2.45E-03,6.68E-02,0.0047,0.3935,0.14884959
418,3.12E-03,8.08E-02,0.0061,0.4494,0.174027865
420,4.00E-03,9.66E-02,0.0081,0.5086,0.202094062
422,5.16E-03,1.14E-01,0.0108,0.5655,0.233614243
424,6.55E-03,1.33E-01,0.0142,0.6265,0.266351746
426,8.09E-03,1.54E-01,0.0181,0.6884,0.299850387
428,9.77E-03,1.76E-01,0.0225,0.7502,0.335161112
430,1.16E-02,2.00E-01,0.0275,0.8155,0.372410565
432,1.36E-02,2.24E-01,0.0327,0.8458,0.403951246
434,1.57E-02,2.50E-01,0.0384,0.8769,0.435995405
436,1.80E-02,2.76E-01,0.0447,0.9088,0.468412667
438,2.05E-02,3.02E-01,0.0516,0.9415,0.502011561
440,2.30E-02,3.28E-01,0.0589,0.9751,0.538048422
442,2.56E-02,3.54E-01,0.067,0.979,0.564285985
