nm,Standard Illuminant A,Standard Illuminant D65,Illuminant C,IlluminantD50,IlluminantD55,IlluminantD75,FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8,FL9,FL10,FL11*,FL12,HP1,HP2,HP3,HP4,HP5
380,9.7951,49.9755,33,24.488,32.584,66.703,1.87,1.18,0.82,0.57,1.87,1.05,2.56,1.21,0.9,1.11,0.91,0.96,1.9,2.64,3.15,9.8,0.34
385,10.8996,52.3118,39.92,27.179,35.335,68.333,2.36,1.48,1.02,0.7,2.35,1.31,3.18,1.5,1.12,0.8,0.63,0.64,2.2,2.77,7.49,13.3,7.11
390,12.0853,54.6482,47.4,29.871,38.087,69.963,2.94,1.84,1.26,0.87,2.92,1.63,3.84,1.81,1.36,0.62,0.46,0.4,2.5,3.42,10.87,19.97,11.49
395,13.3543,68.7015,55.17,39.589,49.518,85.946,3.47,2.15,1.44,0.98,3.45,1.9,4.53,2.13,1.6,0.57,0.37,0.33,2.7,3.68,12.57,25.81,14.97
400,14.708,82.7549,63.3,49.308,60.949,101.929,5.17,3.44,2.57,2.01,5.1,3.11,6.15,3.17,2.59,1.48,1.29,1.19,3.1,4.33,12.97,24.69,14.95
405,16.148,87.1204,71.81,52.91,64.751,106.911,19.49,15.69,14.36,13.75,18.91,14.8,19.37,13.08,12.8,12.16,12.68,12.48,4.3,5.5,21.29,47.66,29.14
410,17.6753,91.486,80.6,56.513,68.554,111.894,6.13,3.85,2.7,1.95,6,3.43,7.37,3.83,3.05,2.12,1.59,1.12,3.8,5.94,26.29,54.44,38.08
415,19.2907,92.4589,89.53,58.273,70.065,112.346,6.24,3.74,2.45,1.59,6.11,3.3,7.05,3.45,2.56,2.7,1.79,0.94,4.2,7.2,30.18,63.82,51.56
420,20.995,93.4318,98.1,60.034,71.577,112.798,7.01,4.19,2.73,1.76,6.85,3.68,7.71,3.86,2.86,3.74,2.46,1.08,4.8,9.02,43.06,85.52,62.56
425,22.7883,90.057,105.8,58.926,69.746,107.945,7.79,4.62,3,1.93,7.58,4.07,8.41,4.42,3.3,5.14,3.33,1.37,5.19,10.27,29.58,60.54,55.61
430,24.6709,86.6823,112.4,57.818,67.914,103.092,8.56,5.06,3.28,2.1,8.31,4.45,9.15,5.09,3.82,6.75,4.49,1.78,5.89,12.48,23.18,38.37,41.98
435,26.6425,95.7736,117.75,66.321,76.76,112.145,43.67,34.98,31.85,30.28,40.76,32.61,44.14,34.1,32.62,34.39,33.94,29.05,7.39,16.82,35.28,88.2,50.02
440,28.7027,104.865,121.5,74.825,85.605,121.198,16.94,11.81,9.47,8.03,16.06,10.74,17.52,12.42,10.77,14.86,12.13,7.9,7.89,16.04,26.29,44.94,42.14
445,30.8508,110.936,123.45,81.036,91.799,127.104,10.72,6.27,4.02,2.55,10.32,5.48,11.35,7.68,5.84,10.4,6.95,2.65,5.69,15.26,24.29,35.64,39.04
450,33.0859,117.008,124,87.247,97.993,133.01,11.35,6.63,4.25,2.7,10.91,5.78,12,8.6,6.57,10.76,7.19,2.71,12.89,22.58,22.91,30.75,40.52
455,35.4068,117.41,123.6,88.93,99.228,132.682,11.89,6.93,4.44,2.82,11.4,6.03,12.58,9.46,7.25,10.67,7.12,2.65,6.69,20.07,26.2,33.77,45.29
460,37.8121,117.812,123.1,90.612,100.463,132.355,12.37,7.19,4.59,2.91,11.83,6.25,13.08,10.24,7.86,10.11,6.72,2.49,4.3,15.13,29.31,40.81,51.01
465,40.3002,116.336,123.3,90.99,100.188,129.838,12.75,7.4,4.72,2.99,12.17,6.41,13.45,10.84,8.35,9.27,6.13,2.33,20.78,25.27,25.3,33.77,49.18
470,42.8693,114.861,123.8,91.368,99.913,127.322,13,7.54,4.8,3.04,12.4,6.52,13.71,11.33,8.75,8.29,5.46,2.1,12.99,28.04,28.14,35.28,49.05
475,45.5174,115.392,124.09,93.238,101.326,127.061,13.15,7.62,4.86,3.08,12.54,6.58,13.88,11.71,9.06,7.29,4.79,1.91,6.69,15.99,24.05,32.55,46.12
480,48.2423,115.923,123.9,95.109,102.739,126.8,13.23,7.65,4.87,3.09,12.58,6.59,13.95,11.98,9.31,7.91,5.66,3.01,1.4,10.4,21.82,29.44,45.73
485,51.0418,112.367,122.92,93.536,100.409,122.291,13.17,7.62,4.85,3.09,12.52,6.56,13.93,12.17,9.48,16.64,14.29,10.83,1.5,11.1,20.51,26.16,39.46
490,53.9132,108.811,120.7,91.963,98.078,117.783,13.13,7.62,4.88,3.14,12.47,6.56,13.82,12.28,9.61,16.73,14.96,11.88,3.2,13.44,23.05,29.96,44.39
495,56.8539,109.082,116.9,93.843,99.379,117.186,12.85,7.45,4.77,3.06,12.2,6.42,13.64,12.32,9.68,10.44,8.97,6.88,18.18,22.62,26.98,32.83,46.14
500,59.8611,109.354,112.1,95.724,100.68,116.589,12.52,7.28,4.67,3,11.89,6.28,13.43,12.35,9.74,5.94,4.72,3.43,56.24,49.71,30.96,33.58,49.54
505,62.932,108.578,106.98,96.169,100.688,115.146,12.2,7.15,4.62,2.98,11.61,6.2,13.25,12.44,9.88,3.34,2.33,1.49,2.9,17.21,30.72,41.16,59.76
510,66.0635,107.802,102.3,96.613,100.695,113.702,11.83,7.05,4.62,3.01,11.33,6.19,13.08,12.55,10.04,2.35,1.47,0.92,2.1,17.12,27.13,32.93,48.47
515,69.2525,106.296,98.81,96.871,100.341,111.181,11.5,7.04,4.73,3.14,11.1,6.3,12.93,12.68,10.26,1.88,1.1,0.71,13.39,27.26,29.55,32.13,48.38
