wavelength,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
360,3.92E-06,0.00E+00,1.30E-04,3.92E-06,6.06E-04,1.22E-07,1.34E-08,5.35E-07
361,4.39E-06,0.00E+00,1.46E-04,4.39E-06,6.81E-04,1.85E-07,2.03E-08,8.11E-07
362,4.93E-06,0.00E+00,1.64E-04,4.93E-06,7.65E-04,2.79E-07,3.06E-08,1.22E-06
363,5.53E-06,0.00E+00,1.84E-04,5.53E-06,8.60E-04,4.17E-07,4.57E-08,1.83E-06
364,6.21E-06,0.00E+00,2.07E-04,6.21E-06,9.67E-04,6.21E-07,6.81E-08,2.72E-06
365,6.97E-06,0.00E+00,2.32E-04,6.97E-06,1.09E-03,9.19E-07,1.01E-07,4.03E-06
366,7.81E-06,0.00E+00,2.61E-04,7.81E-06,1.22E-03,1.35E-06,1.48E-07,5.93E-06
367,8.77E-06,0.00E+00,2.93E-04,8.77E-06,1.37E-03,1.98E-06,2.16E-07,8.67E-06
368,9.84E-06,0.00E+00,3.29E-04,9.84E-06,1.54E-03,2.87E-06,3.14E-07,1.26E-05
369,1.10E-05,0.00E+00,3.70E-04,1.10E-05,1.73E-03,4.15E-06,4.54E-07,1.82E-05
370,1.24E-05,0.00E+00,4.15E-04,1.24E-05,1.95E-03,5.96E-06,6.51E-07,2.61E-05
371,1.39E-05,0.00E+00,4.64E-04,1.39E-05,2.18E-03,8.51E-06,9.29E-07,3.73E-05
372,1.56E-05,0.00E+00,5.19E-04,1.56E-05,2.44E-03,1.21E-05,1.32E-06,5.30E-05
373,1.74E-05,0.00E+00,5.82E-04,1.74E-05,2.73E-03,1.70E-05,1.86E-06,7.48E-05
374,1.96E-05,0.00E+00,6.55E-04,1.96E-05,3.08E-03,2.39E-05,2.60E-06,1.05E-04
375,2.20E-05,0.00E+00,7.42E-04,2.20E-05,3.49E-03,3.33E-05,3.63E-06,1.46E-04
376,2.48E-05,0.00E+00,8.45E-04,2.48E-05,3.98E-03,4.61E-05,5.02E-06,2.03E-04
377,2.80E-05,0.00E+00,9.65E-04,2.80E-05,4.54E-03,6.35E-05,6.91E-06,2.79E-04
378,3.15E-05,0.00E+00,1.09E-03,3.15E-05,5.16E-03,8.69E-05,9.45E-06,3.82E-04
379,3.52E-05,0.00E+00,1.23E-03,3.52E-05,5.80E-03,1.18E-04,1.28E-05,5.21E-04
380,3.90E-05,5.89E-04,1.37E-03,3.90E-05,6.45E-03,1.60E-04,1.74E-05,7.05E-04
381,4.28E-05,6.65E-04,1.50E-03,4.28E-05,7.08E-03,2.15E-04,2.33E-05,9.48E-04
