wavelength.nm,Standard illuminant A,Standard illuminant D65,Illuminant C,Illuminant D50,Illuminant D55,Illuminant D75,EES
300,0.930483,0.0341,0,0.019,0.024,0.043,1
305,1.12821,1.6643,0,1.035,1.048,2.588,1
310,1.35769,3.2945,0,2.051,2.072,5.133,1
315,1.62219,11.7652,0,4.914,6.648,17.47,1
320,1.92508,20.236,0.01,7.778,11.224,29.808,1
325,2.2698,28.6447,0.2,11.263,15.936,42.369,1
330,2.65981,37.0535,0.4,14.748,20.647,54.93,1
335,3.09861,38.5011,1.55,16.348,22.266,56.095,1
340,3.58968,39.9488,2.7,17.948,23.885,57.259,1
345,4.13648,42.4302,4.85,19.479,25.851,60,1
350,4.74238,44.9117,7,21.01,27.817,62.74,1
355,5.4107,45.775,9.95,22.476,29.219,62.861,1
360,6.14462,46.6383,12.9,23.942,30.621,62.982,1
365,6.9472,49.3637,17.2,25.451,32.464,66.647,1
370,7.82135,52.0891,21.4,26.961,34.308,70.312,1
375,8.7698,51.0323,27.5,25.724,33.446,68.507,1
380,9.7951,49.9755,33,24.488,32.584,66.703,1
385,10.8996,52.3118,39.92,27.179,35.335,68.333,1
390,12.0853,54.6482,47.4,29.871,38.087,69.963,1
395,13.3543,68.7015,55.17,39.589,49.518,85.946,1
400,14.708,82.7549,63.3,49.308,60.949,101.929,1
405,16.148,87.1204,71.81,52.91,64.751,106.911,1
410,17.6753,91.486,80.6,56.513,68.554,111.894,1
415,19.2907,92.4589,89.53,58.273,70.065,112.346,1
420,20.995,93.4318,98.1,60.034,71.577,112.798,1
425,22.7883,90.057,105.8,58.926,69.746,107.945,1
430,24.6709,86.6823,112.4,57.818,67.914,103.092,1
435,26.6425,95.7736,117.75,66.321,76.76,112.145,1
440,28.7027,104.865,121.5,74.825,85.605,121.198,1
445,30.8508,110.936,123.45,81.036,91.799,127.104,1
450,33.0859,117.008,124,87.247,97.993,133.01,1
455,35.4068,117.41,123.6,88.93,99.228,132.682,1
460,37.8121,117.812,123.1,90.612,100.463,132.355,1
465,40.3002,116.336,123.3,90.99,100.188,129.838,1
470,42.8693,114.861,123.8,91.368,99.913,127.322,1
475,45.5174,115.392,124.09,93.238,101.326,127.061,1
480,48.2423,115.923,123.9,95.109,102.739,126.8,1
485,51.0418,112.367,122.92,93.536,100.409,122.291,1
490,53.9132,108.811,120.7,91.963,98.078,117.783,1
495,56.8539,109.082,116.9,93.843,99.379,117.186,1
500,59.8611,109.354,112.1,95.724,100.68,116.589,1
505,62.932,108.578,106.98,96.169,100.688,115.146,1
510,66.0635,107.802,102.3,96.613,100.695,113.702,1
515,69.2525,106.296,98.81,96.871,100.341,111.181,1
520,72.4959,104.79,96.9,97.129,99.987,108.659,1
525,75.7903,106.239,96.78,99.614,102.098,109.552,1
530,79.1326,107.689,98,102.099,104.21,110.445,1
535,82.5193,106.047,99.94,101.427,103.156,108.367,1
540,85.947,104.405,102.1,100.755,102.102,106.289,1
545,89.4124,104.225,103.95,101.536,102.535,105.596,1
550,92.912,104.046,105.2,102.317,102.968,104.904,1
555,96.4423,102.023,105.67,101.159,101.484,102.452,1
560,100,100,105.3,100,100,100,1
565,103.582,98.1671,104.11,98.868,98.608,97.808,1
570,107.184,96.3342,102.3,97.735,97.216,95.616,1
575,110.803,96.0611,100.15,98.327,97.482,94.914,1
580,114.436,95.788,97.8,98.918,97.749,94.213,1
585,118.08,92.2368,95.43,96.208,94.59,90.605,1
590,121.731,88.6856,93.2,93.499,91.432,86.997,1
595,125.386,89.3459,91.22,95.593,92.926,87.112,1
600,129.043,90.0062,89.7,97.688,94.419,87.227,1
605,132.697,89.8026,88.83,98.478,94.78,86.684,1
610,136.346,89.5991,88.4,99.269,95.14,86.14,1
615,139.988,88.6489,88.19,99.155,94.68,84.861,1
620,143.618,87.6987,88.1,99.042,94.22,83.581,1
625,147.235,85.4936,88.06,97.382,92.334,81.164,1
630,150.836,83.2886,88,95.722,90.448,78.747,1
635,154.418,83.4939,87.86,97.29,91.389,78.587,1
640,157.979,83.6992,87.8,98.857,92.33,78.428,1
645,161.516,81.863,87.99,97.262,90.592,76.614,1
650,165.028,80.0268,88.2,95.667,88.854,74.801,1
655,168.51,80.1207,88.2,96.929,89.586,74.562,1
660,171.963,80.2146,87.9,98.19,90.317,74.324,1
665,175.383,81.2462,87.22,100.597,92.133,74.873,1
